code,date,price,quantity,,,
1,2/01/18,67.11655332,55.39173283,,,
1,3/01/18,67.6416414,54.54293929,,,
1,4/01/18,64.60343063,55.55749627,,,
1,5/01/18,68.88005585,53.98313775,,,
1,6/01/18,72.8862734,51.18683405,,,
1,7/01/18,84.53061971,44.05586273,,,
1,8/01/18,71.23277413,46.86335091,,,
1,9/01/18,71.82626961,48.03345998,,,
1,10/01/18,69.48081355,49.72305065,,,
1,11/01/18,57.7785801,56.22021254,,,
1,12/01/18,69.8146487,53.70121481,,,
1,13/01/18,70.42288371,52.02060956,,,
1,14/01/18,89.55199921,41.82060363,,,
1,15/01/18,68.66634156,46.74655484,,,
1,16/01/18,72.1429795,47.62216942,,,
1,17/01/18,69.75743884,49.16316834,,,
1,18/01/18,62.27919605,53.54490872,,,
1,19/01/18,78.4747976,47.89449528,,,
1,20/01/18,75.46647707,46.38742404,,,
1,21/01/18,75.76212039,45.47813581,,,
1,22/01/18,63.91515474,50.74357273,,,
1,23/01/18,80.54166862,45.34785383,,,
1,24/01/18,60.84381286,52.07141943,,,
1,25/01/18,74.2309331,49.04731128,,,
1,26/01/18,87.1421597,41.10913471,,,
1,27/01/18,63.39858924,48.58212413,,,
1,28/01/18,66.14606939,51.11493402,,,
1,29/01/18,70.70104677,50.11783023,,,
1,30/01/18,66.56292073,51.56334831,,,
1,31/01/18,59.94508535,55.48910482,,,
1,1/02/18,70.4815899,52.36668507,,,
1,2/02/18,62.94522292,54.34831796,,,
1,3/02/18,73.39490251,50.29317476,,,
1,4/02/18,63.85103669,52.79023169,,,
1,5/02/18,81.73552113,45.38194653,,,
1,6/02/18,64.72644903,49.79444996,,,
1,7/02/18,67.78148604,50.60491804,,,
1,8/02/18,75.93266523,46.99408166,,,
1,9/02/18,61.89310663,51.91631602,,,
1,10/02/18,71.61046593,49.73596974,,,
1,11/02/18,79.77494777,44.56785166,,,
1,12/02/18,59.60544438,51.69242557,,,
1,13/02/18,71.30444216,49.69957357,,,
1,14/02/18,71.84302435,48.3212862,,,
1,15/02/18,75.6923826,45.72550423,,,
1,16/02/18,61.8554475,51.08781908,,,
1,17/02/18,61.34106868,54.08857484,,,
1,18/02/18,73.75061975,49.54252607,,,
1,19/02/18,72.11007056,47.94521215,,,
1,20/02/18,71.77559581,47.29056512,,,
1,21/02/18,72.46763606,46.59944264,,,
1,22/02/18,65.39807148,49.65165151,,,
1,23/02/18,71.64480252,48.16751129,,,
1,24/02/18,72.08186517,47.13808835,,,
1,25/02/18,65.17396636,49.94439929,,,
1,26/02/18,84.35825693,42.03479999,,,
1,27/02/18,73.39666761,43.26375625,,,
1,28/02/18,62.1384458,49.38174997,,,
1,1/03/18,74.75010395,46.37444559,,,
1,2/03/18,63.49918524,50.21239025,,,
1,3/03/18,75.73222038,46.24441035,,,
1,4/03/18,78.59867171,42.74826196,,,
1,5/03/18,64.48463705,47.81288814,,,
1,6/03/18,77.07915301,44.2976857,,,
1,7/03/18,72.94993141,44.43299624,,,
1,8/03/18,75.99756179,43.01805245,,,
1,9/03/18,84.6203296,38.05916374,,,
1,10/03/18,68.30318722,43.44349721,,,
1,11/03/18,64.91778516,47.85800846,,,
1,12/03/18,64.04229978,50.48842765,,,
1,13/03/18,64.51606184,51.55471308,,,
1,14/03/18,69.46236333,49.65890861,,,
1,15/03/18,72.42926566,47.20668756,,,
1,16/03/18,71.96387968,46.16038218,,,
1,17/03/18,76.03650599,43.63389218,,,
1,18/03/18,70.09107244,45.20936134,,,
1,19/03/18,80.9513737,40.72688826,,,
1,20/03/18,68.17170245,44.6070668,,,
1,21/03/18,91.88264443,35.05175074,,,
1,22/03/18,74.51958501,38.57285666,,,
1,23/03/18,64.24985625,45.40089832,,,
1,24/03/18,62.89118383,49.52346461,,,
1,25/03/18,73.46010602,46.44301488,,,
1,26/03/18,68.45310851,47.23499917,,,
1,27/03/18,75.18075581,44.37345373,,,
1,28/03/18,73.39229846,43.74347763,,,
1,29/03/18,69.49204953,45.31384089,,,
1,30/03/18,64.31647828,48.61479182,,,
1,31/03/18,60.16017085,52.29367566,,,
1,1/04/18,66.94314967,50.8605142,,,
1,2/04/18,76.25897561,45.54183713,,,
1,3/04/18,71.51481396,45.10444016,,,
1,4/04/18,61.80111239,49.60825972,,,
1,5/04/18,71.22282441,47.34403394,,,
1,6/04/18,72.74985988,45.37881259,,,
1,7/04/18,64.07853872,48.57478772,,,
1,8/04/18,71.08438928,46.8178275,,,
1,9/04/18,70.40864922,46.19686121,,,
1,10/04/18,62.43950776,49.73699828,,,
1,11/04/18,72.54985481,46.64373954,,,
1,12/04/18,74.03764608,44.28051077,,,
1,13/04/18,78.00714042,41.13858612,,,
1,14/04/18,77.7793092,39.63518973,,,
1,15/04/18,60.99112155,47.01892047,,,
1,16/04/18,63.73365366,49.4884315,,,
1,17/04/18,73.69970296,45.84714641,,,
1,18/04/18,73.69049611,43.9423687,,,
1,19/04/18,73.69979449,42.96989028,,,
1,20/04/18,102.901106,28.2014157,,,
1,21/04/18,74.11250623,34.70147163,,,
1,22/04/18,78.41786773,36.00478891,,,
1,23/04/18,77.00693005,37.30128794,,,
1,24/04/18,74.71152523,39.06217214,,,
1,25/04/18,67.82754071,43.28954174,,,
1,26/04/18,75.51959538,41.69978462,,,
1,27/04/18,64.79398148,46.04801004,,,
1,28/04/18,68.36174478,46.55598176,,,
1,29/04/18,66.68358944,47.58530459,,,
1,30/04/18,70.57547157,46.21145583,,,
1,1/05/18,88.2312403,36.88021114,,,
1,2/05/18,58.0769423,46.75092309,,,
1,3/05/18,74.97249111,43.69234142,,,
1,4/05/18,59.57426318,49.49435154,,,
1,5/05/18,66.7732169,49.01504222,,,
1,6/05/18,78.05317317,43.22496976,,,
1,7/05/18,70.45140941,43.941193,,,
1,8/05/18,62.8481038,48.0292562,,,
1,9/05/18,65.1677602,48.99845296,,,
1,10/05/18,74.92255777,44.71905032,,,
1,11/05/18,65.0696724,47.28746272,,,
1,12/05/18,71.53172811,45.49861846,,,
1,13/05/18,70.31973086,45.1389469,,,
1,14/05/18,65.58422584,47.25925894,,,
1,15/05/18,86.73778925,38.05100182,,,
1,16/05/18,74.58110152,39.2287812,,,
1,17/05/18,57.16723865,48.32893039,,,
1,18/05/18,71.31742401,46.15314806,,,
1,19/05/18,65.51745499,47.76535123,,,
1,20/05/18,76.22874142,43.40554888,,,
1,21/05/18,64.66649193,46.76286343,,,
1,22/05/18,69.2014349,46.32076546,,,
1,23/05/18,73.62568678,43.91275704,,,
1,24/05/18,76.33035995,41.35898389,,,
1,25/05/18,62.08259037,46.97920971,,,
1,26/05/18,67.6972202,47.17015539,,,
1,27/05/18,66.75309818,47.67901538,,,
1,28/05/18,65.57288806,48.51178948,,,
1,29/05/18,83.51620343,40.2067667,,,
1,30/05/18,72.89305836,41.10868688,,,
1,31/05/18,61.70758437,47.05406168,,,
1,1/06/18,76.7291307,42.81777959,,,
1,2/06/18,86.54901162,35.80222107,,,
1,3/06/18,77.61353003,36.59442452,,,
1,4/06/18,60.13296811,45.53192863,,,
1,5/06/18,66.69112161,46.95492405,,,
1,6/06/18,79.4546451,41.41062653,,,
1,7/06/18,65.21752985,45.47502246,,,
1,8/06/18,73.17670882,43.74490439,,,
1,9/06/18,75.63798828,41.62850078,,,
1,10/06/18,63.80312657,46.30521276,,,
1,11/06/18,69.58456019,45.92924215,,,
1,12/06/18,50.62110115,54.86640399,,,
1,13/06/18,63.18433951,53.43949271,,,
1,14/06/18,68.25416289,50.16320424,,,
1,15/06/18,61.78847904,51.62591843,,,
1,16/06/18,82.41243803,42.38959232,,,
1,17/06/18,60.67192705,48.19832192,,,
1,18/06/18,66.98647902,48.20483522,,,
1,19/06/18,70.92119278,46.25597964,,,
1,20/06/18,80.85218176,40.426625,,,
1,21/06/18,60.63722794,47.27461938,,,
